lemma	pos	semantic_tags
ajanmukaistaminen	noun	T1.1.2
ajanmukaistus	noun	T1.1.2
ajanmukaisuus	noun	T1.1.2
ajantasainen	adj	T1.1.2
ajantasaistaa	verb	T1.1.2
ajantasaistaminen	noun	T1.1.2
ajantasaisuus	noun	T1.1.2
ajanvietekirjallisuus	noun	Q4.1
ajanvieteromaani	noun	Q4.1
ajastin	noun	T1/O2
ajastus	noun	T1
ajat_sitten	adv	T1.1.1
ajatella	verb	X2.1 X4.1 X7+
ajatelma	noun	X2.1
ajatollah	noun	S9/S2
ajaton	adj	T2++
ajatteleminen	noun	X2.1 X4.1
ajattelija	noun	X2.1/S2
ajattelu	noun	X2.1 X4.1
ajattelutapa	noun	X4.1
ajattomasti	adv	T2++
ajattomuus	noun	T2++
ajatus	noun	X2.1 X4.1 X7+
ajatusmaailma	noun	X4.1
ajatustenlukija	noun	S9/S2
ajatustenluku	noun	S9
ajatustenvaihto	noun	Q1.1/X2.1
ajatustoiminta	noun	X2.1
ajatustottumus	noun	X4.1
ajatusviiva	noun	Q3
ajautua	verb	M1 T2-
ajautuja	noun	M1/S2 T2-/S2
ajautuminen	noun	M1 T2-
Ajax	pnoun	Z3
ajelehtia	verb	M1 X7- A1.4-
ajelehtiminen	noun	M1 X7- A1.4-
ajeleminen	noun	M3 B4
ajelija	noun	M3/S2
ajella	verb	M3 B4
ajelu	noun	M3 B4
ajo	noun	M3 A2.2 M1 K5.1 Y2 B4 S7.1+
ajoissa	adv	T4+
ajoittaa	verb	X7+/T1
ajoittain	adv	N6-
ajoittainen	adj	N6-
ajoittais	CompPart	N6-
ajoittaisesti	adv	N6-
ajoittaisuus	noun	N6-
ajoittaminen	noun	X7+/T1
ajoittua	verb	T1.2
ajoittuminen	noun	T1.2
ajoitus	noun	X7+/T1 T1.2
ajojahti	noun	K5.1 E3-
ajokaista	noun	M3/H3
ajokelpoinen	adj	M3/A5.1+
ajokelpoisuus	noun	M3/A5.1+
ajokelvoton	adj	M3/A5.1-
ajokelvottomuus	noun	M3/A5.1-
ajokilometri	noun	N3.7
ajokki	noun	M3
ajokoira	noun	L2/K5.1
ajokortti	noun	M3/Q1.2
ajoneuvo	noun	M3
ajoneuvokilometri	noun	N3.7
ajo-oikeus	noun	S7.4+/M3
ajopiirturi	noun	O3/M3
ajorata	noun	M3/H3
ajos	noun	B2-
ajospahka	noun	B2-
ajot	noun	K5.1
ajuruoho	noun	L3
Akaa	pnoun	Z2
akaalainen	adj	Z2
akaalainen	noun	Z2/S2
akaalais	CompPart	Z2
akana	noun	N5.2+
akankaali	noun	L3
akansieni	noun	L3
akasia	noun	L3
akateemikko	noun	P1/S2
akateeminen	adj	P1
akateemisesti	adv	P1
