lemma	pos	semantic_tags
prostor	N	N3.6 W1 T1.3 Q1.2
politik	N	G1.2/S2mf
poslouchat	V	X3.2
krásný	A	O4.2+
vysvětlovat	V	Q2.2/A7+ A2.2
pokusit	V	X8+ X2.4 Q2.2 G2.1 A12-
jistě	D	A7+
rozumět	V	X2.5+
očekávat	V	X2.6+ B1
informace	N	X2.2+
pohyb	N	M1 S5+c K2 A2.1+
bratr	N	S4m S2.2m S9/S2.2m
sestra	N	S4f S9/S2.1f B3/S2.1f S2.1f A2.2
vyžadovat	V	X7+ S6+
zelený	A	O4.3 W5 L3 X9.1-
milovat	V	E2+
úplně	D	A13.2
ráno	D	T1.3
úspěch	N	X9.2+
správný	A	A5.3+ A4.2+ A1.2+ G2.2+ M6 N3.2+ A13.3 A13.2
soud	N	G2.1 H3 M7/K5.2
bát	V	E5- E4.1-
šest	C	N1 T3 T1.2
usmát	V	E4.1+
láska	N	S3.2 E2+ E2+/S2mf
večer	N	T1.3
široký	A	N3.7+ N5+ A4.2- A6.3+ X9.2-@ K5.1@
přinést	V	M2 A2.2
boj	N	S8- X8+ E3- K5.1
demokratický	A	G1.2
základní	A	A6.2+ A11.1+ A12+
rovněž	D	N5++
dovolit	V	I1.1 A9+
ústa	N	B1 Q2.2 M7/W3 W3/M4 O2
podmínka	N	O4.1 S6+ B2- B2+ Z7
aniž	J	Z5
vyjít	V	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
vzhledem	R	A9- A1.1.1
poté	D	Z5
model	N	O2/A5.4- A4.1 X4.2 A5.1+++ C1/S2mf B5/I3.2/S2mf
pravidlo	N	G2.1 X4.2 A6.2+ S7.1+ Q3
zůstávat	V	T2++ M8 N5.2+
určitě	D	A7+
obraz	N	C1 Q2.2
zvíře	N	L2mfn S5+c O2c
rozvojový	A	A2.1+ T2+ A5.1+/A2.1 N3.2+/A2.1 H1 A9+ C1
daň	N	I1.1/G1.1
položit	V	M2 Q2.1 Q2.2 A1.1.1
obvykle	D	A6.2+
moře	N	W3/M4
role	N	I3.1 K4 S1.1.1 A1.1.1
vážně	D	A13.3 Z4 E4.1-
domnívat	V	X2.1
vytáhnout	V	M2 A9+ M1
zároveň	D	N5++
fiskální	A	I1/G1.1 I1
příjem	N	I1.1
šťastný	A	E4.1+ E4.2+
jakýsi	P	Z5
centrální	A	A11.1+ M6
sem	D	M6 T1.1.2 T1.2
náklad	N	I1.3
tma	N	W2- O4.3
řeč	N	Q3 Y2
Rút	N	Z1f
poslat	V	M2 A2.2
minulost	N	T1.1.1
onen	P	Z5
záda	N	B1 M6
dávný	A	T3-
chování	N	S1.1.1 A1.1.1
včetně	R	A1.8+
volat	V	Q2.2 S1.1.1 Q1.3 S9%
důkaz	N	A5.2+ X2.2 G2.1
postavit	V	M6 M2 M8 M1 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+
úsměv	N	E4.1+
obchodní	A	I2.2 I2.1 I3.1 I2.2/N5
náhle	D	N3.8+
Izrael	N	Z2
zavřít	V	A1.1.1 A10- T2-
Itálie	N	Z2
rád	D	E2++
dnešní	A	T1.1.2
pryč	D	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
promluvit	V	Q2.1
kancelář	N	I2.1/H1c I2.1/H2c S7.1+ I3.1 S9 S8+
Řecko	N	Z2
slabý	A	S1.2.5- O4.1 S7.1- A5.1-
reakce	N	Q2.1 S1.1.2+
mysl	N	X1
snaha	N	X8+ O2
bývalý	A	T2- N4
výdaj	N	I1.2 A1.5.1 T1.3
pamatovat	V	X2.2+
smět	V	S6+ A7+
líbit	V	E2+
doma	D	H4/H1c M6
představa	N	X4.1 X7+
vstát	V	M6 M2 M8 M1 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+
událost	N	A3+/A11.1+ A6.2- S1.1.1/X7+ K5
pouhý	A	A11.1-
hra	N	K5.1 K5.2 X7+ A1.1.1 L2 F1
ať	J	Z5
září	N	T1.3
jestliže	J	Z7
Irák	N	Z2 Z3c
přikývnout	V	M1
okamžitě	D	N3.8+ T1.1.2/A11.1+ N4
spousta	N	N5 S5+ A3+ A1.4 M7 O2
rozhovor	N	Q2.1
pokoušet	V	X8+ X2.4 Q2.2 G2.1 A12-
rodič	N	S4mf A9+
chudý	A	I1.1- A5.1- N5- E4.1- X9.1-
vliv	N	S7.1+ A2.2
chodba	N	H2 M7
podlaha	N	H2 S5+
region	N	M7 B1
student	N	P1/S2mf
podařit	V	S7.1+ A1.1.1 X9.2+
obava	N	E5-
zvýšit	V	N5+/A2.1
vládní	A	G1.1c
pes	N	L2mfn
fond	N	I1.1 N5+
zemřít	V	L1- T2-
ukazovat	V	A10+ S1.1.1
spolu	D	S5+ T1.1.2 M6
věda	N	Y1
dosud	D	T2++ Z4 E3+
souhlasit	V	A6.1+ Q2.2
útok	N	E3- G3 B2- A1.1.2 Q2.2
krátký	A	T1.3- N3.7- N3.3- N5- S1.2.4- N3.8+@ F1%
zajistit	V	A7+
les	N	O1.1 W3/L3
povídat	V	Q2.1 Z4%
telefon	N	Q1.3
režim	N	G1.1 S7.1+ B3
připravit	V	O4.1 A1.2+ X7+ T2+ A9+/A12+ X9.1+
forma	N	A4.1 O4.4 Q1.2 O4.1 P1@ H5@ K5.1@ G2.1-@ B1@
předpokládat	V	X2.1 A5.4-/A8
státní	A	G1.1c O4.1
rozvoj	N	A2.1+ A5.1+/A2.1 H1
řeka	N	W3/M4 N5+
přemýšlet	V	X2.1
snížit	V	N5-/A2.1 N3.2-/A2.1 A12-/A2.1 A2.2 F1
více	C	N5++
brát	V	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@
vzpomenout	V	X2.2+
krev	N	B1
papír	N	Q4.2c O1.1 Q1.2 P1/Q1.2 H5
