lemma	pos	semantic_tags
Alderbury	PROPN	Z2
Aldershot	PROPN	Z2
Aldgate	PROPN	Z2
Aldridge	PROPN	Z2 Z1mf
Aldrow	PROPN	Z2
Alec	PROPN	Z1m
Alegan	PROPN	Z3c
Alensheare	PROPN	Z3c
Alenthorpe	PROPN	Z2
Alex	PROPN	Z1mf
Alexander	PROPN	Z1m
Alexandra	PROPN	Z1f
Alexandria	PROPN	Z1f Z2
Alexandrian	ADJ	Z2
Alexandrian	NOUN	Z2/S2mf
Alexandrina	PROPN	Z1f
Alf	PROPN	Z1m
Alfa	PROPN	Z3c
Alfred	PROPN	Z1m
Algarve	PROPN	Z2
Algebra	NOUN	N2
Algeria	PROPN	Z2
Algerian	ADJ	Z2
Algerian	NOUN	Z2/S2mf
Algiers	PROPN	Z2
Ali	PROPN	Z1mf
Aliai	PROPN	Z3c
Alicante	PROPN	Z2
Alice	PROPN	Z1f
Alison	PROPN	Z1f
Alistair	PROPN	Z1m
Alitalia	PROPN	Z3c
All-England	ADJ	M7
All-souls	PROPN	Z3
Allah	PROPN	Z1 Z1/S9
Allan	PROPN	Z1m
Allaston	PROPN	Z2
Alldays	PROPN	Z3c
Allders	PROPN	Z3c Z1mf
Allen	PROPN	Z1mf
Allerdale	PROPN	Z2
Allerton	PROPN	Z1mf
Alleyn	PROPN	Z1mf
Alliance	PROPN	Z3c
Allie	PROPN	Z1f
Allies	NOUN	S5+
Allingham	PROPN	Z1mf
Alloa	PROPN	Z2 Z3c
Almarose	PROPN	Z3c
Almeida	PROPN	Z3c
Almighty	NOUN	Z1/S9
Alnwick	PROPN	Z2
Alouitius	PROPN	Z1m
Alpasso	PROPN	Z2
Alpha	NOUN	W1
Alpha	PROPN	Z5
Alphonsus	PROPN	Z1m
Alpiniste	PROPN	Z3
Alps	PROPN	Z2 M7
Alsace	PROPN	Z2 F2@
Alsatian	NOUN	Z2/S2mf Z2/Q3
Alsatian	ADJ	Z2 Z2/Q3
Alston	PROPN	Z2
Alternately	ADV	A6.3+ A6.1-
Alton	PROPN	Z1mf
Altrincham	PROPN	Z2 Z3c
Altringham	PROPN	Z2
Alum	PROPN	Z2
Alytalia	PROPN	Z3c
Alzheimer	PROPN	Z1mf B2-
Amal	PROPN	Z3
Amalfi	PROPN	Z2
Amanah	PROPN	Z3c
Amanda	PROPN	Z1f
Amazon	NOUN	S2.1f
Amazon	PROPN	Z2 M7
Amazon.co.uk	PROPN	Z3c/Y2
Amazon.com	PROPN	Z3c/Y2
Amazon.de	PROPN	Z3c/Y2
Amazonian	NOUN	Z2/S2mf
Amazonian	ADJ	Z2 S1.2.5+
Ambassador	NOUN	G1.1/S2mf S1.1.1/S2mf
Amber	PROPN	Z1f
Amberley	PROPN	Z2
Ambler	PROPN	Z1 Z1/Q1.2
Ambleside	PROPN	Z2 Z3c
Amboseli	PROPN	Z2
Ambrose	PROPN	Z1m
Ambulatory	ADJ	M1
Amcom	PROPN	Z3c
Ameco	PROPN	Z3c
Amelia	PROPN	Z1f
America	PROPN	Z2
American	NOUN	Z2/S2mf
American	ADJ	Z2
American-style	ADJ	Z2/A4.1
Americanism	NOUN	Z2
Americanisms	NOUN	Z2
Americanization	NOUN	Z2/A6.1+
Americanize	VERB	Z2/A6.1+
Americano	NOUN	F2
Americanos	NOUN	F2
Americans	NOUN	Z2/S2mf
Americas	PROPN	Z2
Amerindian	PROPN	Z2/S2mf
Amerindians	PROPN	Z2/S2mf
Amersham	PROPN	Z2
Amey	PROPN	Z3
Amhara	PROPN	Z2/S2mf
Amicable	PROPN	Z3c
Amicables	PROPN	Z3c
Amiga	PROPN	Z3c
Amin	PROPN	Z1m
Amlarose	PROPN	Z3
Ammal	PROPN	Z3
Ammonite	NOUN	T1.1.1/S5 T1.1.1/S1.2.1-/S2mfc S9
Amnesty	PROPN	Z3c
Amos	PROPN	Z1m
Ampang	PROPN	Z2
Ampstead	PROPN	Z2
Amstead	PROPN	Z2
Amsteel	PROPN	Z3c
Amsteel-owner	ADJ	Z3c/A9+
Amsteel-owner	PROPN	Z3c/A9+
Amsterdam	PROPN	Z2
Amstrad	PROPN	Z3c
Amundsen	PROPN	Z1
Amway	PROPN	Z3c
Amy	PROPN	Z1f
Anadin	PROPN	Z3
Anaesthese	PROPN	Z2
Anaesthetists	NOUN	B3/S2mf
Ananda	PROPN	Z1m
Anasey	PROPN	Z2
Anatolian	ADJ	Z2
Anatomical	ADJ	B1
Andalusia	PROPN	Z2
Andersen	PROPN	Z1
Anderson	PROPN	Z1mf
Andes	PROPN	Z2
Anding	PROPN	Z2
Andorra	PROPN	Z2 Z3c
Andorran	NOUN	Z2/S2mf
Andorrans	NOUN	Z2/S2mf
Andover	PROPN	Z2
Andre	PROPN	Z1m
Andrea	PROPN	Z1f
Andreotti	PROPN	Z1mf
Andrew	PROPN	Z1m
Anette	PROPN	Z1f
Anfield	PROPN	Z2
Angel	PROPN	Z2
AngelNet	PROPN	Z3c/Y2
Angela	PROPN	Z1f
Angeles	PROPN	Z2
Angelica	PROPN	Z1f
Angelo	PROPN	Z1m
Angie	PROPN	Z1f
Angiers	PROPN	Z2
Angio	PROPN	Z1m
Anglesey	PROPN	Z2
Anglican	ADJ	S9
Anglican	NOUN	S9
Anglicanism	NOUN	S9
Anglicism	NOUN	Q3
Anglo	ADJ	Z2
Anglo-Afro-Caribbean	ADJ	Z2
Anglo-Afro-Caribbean	NOUN	Z2/S2mf
Anglo-Catholic	ADJ	S9
Anglo-Catholic	NOUN	S9/S2mf
Anglo-Dutch	ADJ	Z2
Anglo-French	ADJ	Z2
Anglo-Indian	ADJ	Z2 Q3
Anglo-Indian	NOUN	Z2/S2mf
Anglo-Saxon	ADJ	Q3
Anglo-Saxon	NOUN	Z2/S5 Q3
Anglophone	NOUN	Q3/Z2/S3mf
Angola	PROPN	Z2
Angolan	ADJ	Z2
Angolan	NOUN	Z2/S2mf
Angolans	NOUN	Z2/S2mf
Anguilla	PROPN	Z2
Angulin	PROPN	Z2
Angus	NOUN	Z1m
Angus	PROPN	Z1m
Anhwei	PROPN	Z2
Ania	PROPN	Z1f
Animism	NOUN	S9
Anis	PROPN	Z1m
Anita	PROPN	Z1f
Ankara	PROPN	Z2
Anna	PROPN	Z1f
Annabel	PROPN	Z1f Z3c
Annapurna	PROPN	Z2
Anne	PROPN	Z1f
Annerdimes	PROPN	Z3c Z1mf
Annette	PROPN	Z1f
Annie	PROPN	Z1f
Annunciation	NOUN	S9
Ansai	PROPN	Z1
Anseal	PROPN	Z3
Ansell	PROPN	Z1mf
Anston	PROPN	Z2
Answorth	PROPN	Z2
Antal	PROPN	Z3c
Antara	PROPN	Z3c
Antarctic	PROPN	M7
Antarctic	ADJ	M7
Antarctica	PROPN	Z2
Ante	X	Z5
Anteater	NOUN	L2
Anthony	PROPN	Z1m
Anthropology	NOUN	S1.1.1
Anti-War	ADJ	G3/E2-
