lemma	pos	semantic_tags
баба	S	S2.1f S2.1f/T3+ S2.2m/E5- C1 O2/Y1
бабка	S	S2.1f/T3+ B3/S2.1f L2 O2/Y1 F4
бабушка	S	S4f S2.1f/T3+ B3/S2.1f
багаж	S	B5 X2.2+
багамский	A	Z2
багги	S	M3/K5.1
багрец	S	B5
багрянец	S	O4.3
багряный	A	O4.3
багульник	S	L3
бадминтон	S	K5.2
бадминтонист	S	K5.2/S2.2m
бадминтонистка	S	K5.2/S2.1f
бадья	S	O2 N5
база	S	H2 X2.1/A2.2 A9+ I2.1 M7 S5+ A9+/H1 G3
базар	S	I2.2 M7/I2.2 X3.2+++
базилик	S	F1/L3 L3
базировать	V	M6 A2.2 I2.1/A9+ G3
базовый	A	A4.2+ A6.2+ A12+ A9+/H1 S5+ G3
байдарка	S	M4/K5.1 M4
байнел	S	O1
байт	S	Y2
бак	S	O2 N5 M4
бакалейный	A	I2.2/F1
бакалейщик	S	I2.2/F1/S2mf
бакалейщица	S	I2.2/F1/S2.1f
бакалея	S	I2.2/F1 I2.2/F1/H1
баклага	S	O2
баклажан	S	L3/F1
бактериоз	S	B2-
бактериолог	S	B3/I3.2/S2mf
бактериология	S	Y1/B3
бактериофаг	S	L2/B2
бактерия	S	L2/B2
баланс	S	O4.1/B1 A6.1 I1.1 O1.1/I4 O2
балансировать	V	O4.1/B1 K1 A6.1 A7- I1.1
балансировка	S	O4.1/B1 K1 A6.1 A7- I1.1
балахон	S	B5
балеарский	A	Z2
балерина	S	K4/I3.2/S2.1f
балет	S	K4
балетмейстер	S	K4/I3.2/S2mf
балканский	A	Z2
балкон	S	H2 H2/K4
балл	S	A5.1 N3/Y1/W4
баллистика	S	Y1 Y1/G3 P1/G3
баллон	S	O2 N5+
баллотирование	S	G1.2
баллотировать	V	G1.2
баллотировка	S	G1.2
баловать	V	S7.4++ E2++ E4.1+ E4.1+/G2.2- F1 G2.1-
баловник	S	E4.1+/G2.2-/S2mf
баловница	S	E4.1+/G2.2-/S2.1f
баловство	S	S7.4++ E2++ E4.1+/G2.2- G2.2-/S3.2 G2.1-
балтийский	A	Z2
балык	S	F1
бальбоа	S	I1
бальзам	S	F2/L3 B3 E3+
бальзамировать	V	B3/L1-
бальнеология	S	Y1/B3
бальнеотерапия	S	B3
бамия	S	L3/F1
банальность	S	A6.2+ Q3/X5.2-
банальный	A	A6.2+ Q3/X5.2-
банан	S	L3/F1
банда	S	G3/G2.1-/S5+ G2.1-/S5+
бандаж	S	B5/B3 O2/B3
бандит	S	G2.1-/S2mf
бандитизм	S	G2.1-
бандитский	A	G2.1-
бандформирование	S	G3/G2.1-/S5+
банк	S	I1.1/I2.1 I1/H1 A9+/H1 K5.2/I1 I1/A1.4
банка	S	O2 H5/M4 W3
банкир	S	I1.1+/S2mf
банкнот	S	I1
банкнота	S	I1
банковский	A	I1.1
банкрот	S	I1.2+++/S2mf X9.2---/S2mf
банкротство	S	I1.2+++ X9.2---
баня	S	B4/H1 O4.6+++ E3- F1
бар	S	F2/H1 F2/H2 F2/H5 N3.5
баракан	S	B5 Z1
баран	S	L2m X9.1-/S2mf G3
баранка	S	F1 O2/O4.4 A5.1-/K5.1
баранта	S	G2.1- F4/L2
баратрия	S	G2.1-/A1.1.2
барбарис	S	L3/F1
барбизонец	S	C1/S2.2m
бармен	S	F2/S2.2m
барменша	S	F2/S2.1f
барн	S	N3.6
барон	S	S7.1+/S2.2m
баротерапия	S	B3
баррель	S	N3.4
бартер	S	I2.2/S1.1.2+
бархат	S	B5 O4.5 L3
барыш	S	I1.1+
барьер	S	O2/A1.7+ S8- K5.1
баскетбол	S	K5.2
баскетболист	S	K5.2/S2.2m
баскетболистка	S	K5.2/S2.1f
басма	S	O4.3/B4 C1
бассейн	S	K5.1/H1 W3/M4 W3
бат	S	I1
баталист	S	C1/S2mf
батальон	S	G3/S5+ N5+
батарея	S	G3/S5+ M7/G3 O3 O2/O4.6+ N5+/N4
батат	S	L3/F1
батист	S	B5
батон	S	F1
баттерфляй	S	K5.1/M4
батун	S	L3/F1
батут	S	K5.1
баул	S	O2
бахрома	S	B5 O2
бахча	S	F4
бахчевод	S	F4/I3.2/S2mf
бахчеводство	S	F4
башлык	S	B5
башмак	S	B5 O2
башня	S	H1 N5+ G3
бег	S	M1/N3.8+ K5.1 M1
бегать	V	M1/N3.8+ K5.1 M1 S3.2
бегун	S	M1/N3.8+/S2mf K5.1/S2mf K5.1/L2mf
беда	S	E4.1--- A5.1---
бедность	S	I1.1- A6.3- N5- O4.2-
бедный	A	I1.1- A6.3- N5- O4.2- E4.1-
бедняк	S	I1.1-/S2mf
беднячка	S	I1.1-/S2.1f
бедро	S	B1
бедствие	S	A5.1--- A1.1.2 A1.1.2/W4
бежать	V	M1/N3.8+ K5.1 M1 T1.3 N5.2+/O1.2
бежеватенький	A	O4.3
бежевенький	A	O4.3
бежевый	A	O4.3
беженец	S	M1/A15-/S2mf
без	PR	Z5/N6 Z5/A1.7
безалкогольный	A	F2
безбуквенный	A	Q3
безветрие	S	W4
безвозмездность	S	I1.3- G2.2+
безвозмездный	A	I1.3- G2.2+
